name,score
RTX 3500 Ada Generation Laptop GPU,19772
Radeon RX 6700 XT,19744
GeForce RTX 4070 Laptop GPU,19547
GeForce RTX 4060,19538
RTX PRO 2000 Blackwell,19479
RTX A4000,19463
GeForce RTX 2080 SUPER,19461
GeForce RTX 5070 Laptop GPU,19358
GeForce RTX 3080 Ti Laptop GPU,18996
Radeon RX 6700,18920
Quadro GV100,18881
USB Mobile Monitor Virtual Display,18851
Radeon RX 6750 GRE 10GB,18770
NVIDIA TITAN Xp,18762
GeForce RTX 2080,18654
Radeon RX 7700,18635
TITAN Xp COLLECTORS EDITION,18632
GeForce GTX 1080 Ti,18596
Radeon RX 9060,18514
GeForce RTX 2070 SUPER,18150
Radeon RX 7650 GRE,18083
Radeon 8060S,18079
Quadro RTX 6000,17849
NVIDIA A10G,17660
Radeon RX 6850M XT,17597
GeForce RTX 3070 Ti Laptop GPU,17549
GeForce RTX 4060 Laptop GPU,17404
GeForce RTX 5050,17290
Radeon RX 7600 XT,17287
RTX 2000 Ada Generation,17211
GeForce RTX 5060 Laptop GPU,17189
Radeon RX 6650 XT,17128
RTX A5500 Laptop GPU,17088
Radeon RX 6650M XT,17071
RTX 5000 Ada Generation Embedded GPU,17056
EIZO Quadro MED-XN92,17036
RTX PRO 2000 Blackwell Generation Laptop GPU,17030
TITAN V CEO Edition,16988
GeForce RTX 3060,16971
GeForce RTX 3060 12GB,16766
RTX A4500 Laptop GPU,16623
Radeon Pro W6800X,16619
Radeon RX 5700 XT 50th Anniversary,16580
Radeon RX 7600,16549
GeForce RTX 2060 SUPER,16485
Radeon RX 6600 XT,16443
RTX A5000 Laptop GPU,16383
Radeon VII,16261
Radeon 8050S,16219
GeForce RTX 3080 Laptop GPU,16195
Radeon RX 5700 XT,16144
GeForce RTX 2070,16058
RTX 3000 Ada Generation Laptop GPU,15953
GeForce RTX 2060 12GB,15928
Intel Arc B580,15915
Radeon RX 7800M,15863
Radeon PRO W7600,15848
Radeon RX 6800S,15749
RTX 2000E Ada Generation,15742
Radeon Pro V620 MxGPU,15633
GeForce GTX 1080,15615
Radeon Pro Vega II,15597
Radeon RX 7600S,15567
Quadro P6000,15528
Radeon RX 7700S,15502
RTX 2000 Ada Generation Embedded GPU,15373
Quadro RTX 5000,15370
GeForce RTX 3060 8GB,15235
Radeon Pro W5700X,15198
Radeon RX 6650M,15178
GeForce RTX 3070 Laptop GPU,15156
Radeon RX 6700S,15083
Radeon RX 6600,15080
SQExtFramebufferUmode Device,15054
GeForce RTX 2080 (Mobile),15014
Radeon PRO W6600,14980
RTX PRO 1000 Blackwell Generation Laptop GPU,14957
RTX 2000 Ada Generation Laptop GPU,14912
Quadro RTX 4000,14902
GameViewer Virtual Display Adapter,14843
Quadro RTX 5000 (Mobile),14832
RTX A4000 Laptop GPU,14798
Radeon Pro W6800X Duo,14742
GeForce GTX 1070 Ti,14664
Radeon RX 7600M XT,14619
GeForce RTX 5050 Laptop GPU,14551
Intel Arc Pro B60,14436
GeForce RTX 4050 Laptop GPU,14333
Radeon RX 5700,14278
Radeon Pro W5700,14149
Intel Arc B570,14130
GeForce RTX 2060,14114
Radeon Pro Vega II Duo,14018
RadeonT RX 6850M XT,13992
CXDisplay Device,13988
Radeon RX 6600M,13937
Radeon RX Vega 64,13920
NVIDIA A40,13900
RTX A3000 12GB Laptop GPU,13889
Radeon RX 6600 LE,13777
spacedesk Adapter,13759
Quadro GP100,13736
RTX A2000 12GB,13716
GeForce GTX 980 Ti,13696
Racer-Tech USB Display Device,13692
NVIDIA TITAN X,13660
Radeon RX 6700M,13619
A10G,13598
RTX 1000 Ada Generation Laptop GPU,13547
GeForce RTX 2080 Super with Max-Q Design,13518
GeForce GTX 1070,13509
Radeon Pro VII,13460
Radeon RX 5600 XT,13432
RTX A2000,13428
GeForce RTX 2070 Super with Max-Q Design,13406
Radeon Pro Vega 64X,13369
RTX PRO 500 Blackwell Generation Laptop GPU,13345
Intel Arc A770,13341
Tesla P100-PCIE-12GB,13310
Radeon PRO W7500,13299
Radeon RX 6800M,13279
GeForce RTX 3060 Laptop GPU,13161
Radeon PRO W6600X,13113
Radeon RX 6600S,13016
Radeon RX Vega 56,13008
Radeon Pro Vega 64,12882
VirtualMonitor Device,12754
Tesla V100-SXM2-16GB,12746
GeForce RTX 2080 with Max-Q Design,12735
RTX A3000 Laptop GPU,12713
GeForce GTX 1660 Ti,12708
Radeon Vega Frontier Edition,12708
GeForce GTX 1660 SUPER,12690
Quadro P5000,12690
Quadro RTX 5000 with Max-Q Design,12682
Intel Arc A750,12619
GRID RTX6000-1Q,12617
Radeon Pro WX 8200,12615
GeForce GTX TITAN X,12565
GeForce RTX 3050 8GB,12513
Radeon Pro 5700 XT,12457
Quadro P5200 with Max-Q Design,12414
GeForce RTX 2070 (Mobile),12357
Radeon RX 5600 OEM,12345
Tesla V100-PCIE-16GB,12328
Radeon RX 6850M,12274
Radeon Pro V520 MxGPU,12258
Intel Arc Pro B50,12227
A10-24Q,12090
Intel Arc A580,12077
Quadro RTX 4000 with Max-Q Design,12070
Radeon Pro Vega 56,12061
GeForce RTX 3050 Laptop GPU,12003
Radeon RX 7400,11909
GeForce RTX 3050 OEM,11905
Radeon Pro WX 9100,11898
Intel Arc A770M,11859
RTX A4000H,11815
Tesla P100-PCIE-16GB,11814
Quadro M6000,11767
Tesla T10,11764
Radeon RX 5600,11753
Quadro RTX 4000 (Mobile),11684
L40-8Q,11670
GeForce GTX 1660,11631
GeForce GTX 1080 with Max-Q Design,11604
Tesla P40,11596
Quadro P5200,11588
Quadro M6000 24GB,11566
Quadro P4200 with Max-Q Design,11562
Radeon Pro 5700,11457
Quadro P4000,11440
GeForce RTX 2070 with Max-Q Design,11414
Radeon PRO W6600M,11407
GeForce RTX 2060 (Mobile),11353
Radeon Pro Vega 48,11270
RTX 500 Ada Generation Laptop GPU,11192
RTX A2000 Embedded GPU,11117
GeForce GTX 980,11070
GeForce RTX 3050 A Laptop GPU,11015
RTX A1000 Embedded GPU,11009
Radeon RX 7600M,10999
Radeon Pro SSG,10972
RTX A1000,10809
Quadro RTX 3000,10779
GeForce RTX 3050 6GB,10758
Tesla M40 24GB,10641
RTX A2000 8GB Laptop GPU,10499
GeForce GTX 1070 (Mobile),10465
A40-48Q,10436
Radeon 8040S,10431
SuperDisplay Virtual Adapter,10390
Quadro P4200,10380
Tesla M40,10220
GeForce GTX 1650 SUPER,10186
Tesla T4,10153
GeForce RTX 3050 6GB Laptop GPU,10135
GeForce GTX 1660 Ti (Mobile),10101
GeForce RTX 3050 Ti Laptop GPU,10088
RTX A1000 6GB Laptop GPU,10061
GeForce GTX 1060,10060
GRID P40-2B,9842
GeForce GTX 1060 3GB,9823
Intel Arc A730M,9808
GeForce GTX 1070 with Max-Q Design,9765
Radeon R9 Fury + Fury X,9741
Radeon RX 6550M,9657
GeForce RTX 2060 with Max-Q Design,9645
GeForce GTX 970,9637
Radeon RX 6500 XT,9621
GRID P40-2Q,9581
Radeon RX Vega Ryzen 5 5600GT,9558
6FDF:FF,9529
Radeon R9 Fury,9513
GeForce RTX 3050 4GB Laptop GPU,9497
A10-12Q,9493
Intel Arc Pro A60,9493
RTX A2000 Laptop GPU,9487
RTX A1000 Laptop GPU,9471
GeForce GTX 780 Ti,9465
Intel Arc B390 GPU,9444
Quadro M5000,9412
Quadro P2200,9389
Radeon R9 Fury X,9377
Intel Arc GPU,9349
Radeon Pro 5600M,9324
Radeon RX 590,9303
Radeon R9 390X,9277
GeForce GTX 1060 5GB,9208
GeForce GTX TITAN Black,9192
CMP 40HX,9137
Quadro P3200 with Max-Q Design,9117
Tesla P4,9110
Quadro P4000 with Max-Q Design,9083
Radeon RX 5500 XT,9079
EIZO Quadro MED-XN72,9037
Radeon Pro W5500,8934
GeForce GTX TITAN Z,8897
Radeon RX 5600M,8879
Radeon RX 5500,8839
Radeon R9 390,8824
Radeon RX 580,8796
Radeon R9 295X2,8778
GeForce GTX 1660 Ti with Max-Q Design,8605
Easy&amp;Light Display HUB Virtual Display,8576
Quadro P3200,8544
Radeon RX 480,8538
GRID RTX6000-1B,8473
Radeon R9 290X,8432
Miracast display port driver V3,8422
Radeon PRO W6400,8419
Radeon R9 290X / 390X,8380
Ryzen 5 4600HS with Radeon Graphics,8371
Radeon RX590 GME,8322
Radeon Pro Duo,8299
RTX A4500 Embedded GPU,8296
Intel Arc B370 GPU,8279
GeForce GTX Titan,8185
Radeon R9 290,8174
Radeon 890M,8171
GeForce GTX 1060 (Mobile),8160
Radeon R9 290 / 390,8150
Quadro RTX 3000 with Max-Q Design,8147
Radeon 610M Ryzen 9 8945HX,8133
Intel Arc A530M,8013
Quadro K6000,8006
Ryzen 9 6900HS,8005
GeForce GTX 780,7950
Radeon RX 470/570,7930
Quadro M5500,7915
Radeon Pro 5500 XT,7911
GeForce GTX 1650,7868
T1200 Laptop GPU,7845
GeForce GTX 1060 with Max-Q Design,7840
Radeon Pro 580,7753
FirePro W9100,7748
Radeon RX 6400,7739
A40-8Q,7716
Radeon Pro WX 7100,7709
GeForce RTX 2050,7705
Radeon 880M,7703
T1000 8GB,7680
Radeon RX 6500,7660
Radeon RX 780,7658
T1000,7640
Radeon RX 580 2048SP,7628
Radeon RX 5300,7606
Radeon RX 580X,7597
Radeon Pro 580X,7540
GeForce GTX 1650 Ti,7521
GRID P40-8Q,7507
Radeon RX 6500M,7390
GeForce GTX 980M,7371
Radeon Pro W5500X,7351
Quadro T2000,7287
L4-8Q,7114
RadeonT 780M,7113
Radeon Pro 5300,7089
Quadro M5000M,7076
GRID P40-24Q,7057
T600 Laptop GPU,7032
Tesla M60,7002
Quadro P2000,6975
GeForce GTX 1650 (Mobile),6968
Quadro T2000 with Max-Q Design,6951
Radeon 780M,6887
FirePro W8100,6812
Ryzen 9 4900HS with Radeon Graphics,6791
Radeon Ryzen 9 6900HS,6770
Radeon Pro 5500M,6730
GeForce GTX 970XM FORCE,6707
RadeonT 660M Ryzen 5 6600H,6700
Quadro T1000 with Max-Q Design,6676
Intel Arc Pro 140T GPU,6675
Intel Arc 140T GPU,6668
Quadro M4000,6668
P106-100,6656
A10-8Q,6648
Radeon RX 6450M,6601
GeForce GTX 1650 Ti with Max-Q Design,6594
Radeon Pro WX 7130,6584
RTX A500 Laptop GPU,6580
GRID P40-3Q,6570
Radeon RX Vega M GH,6557
Radeon 610M Ryzen 9 7845HX,6514
GRID P40-2B4,6501
Quadro T1000,6499
LuminonCore IDDCX Adapter,6479
AMD Ryzen Z1 Extreme,6448
Radeon RX 6300M,6421
Quadro P3000,6418
T600,6373
GeForce GTX 1050 Ti,6355
Radeon Pro 570,6337
GeForce GTX 1650 with Max-Q Design,6331
Intel Arc A380,6306
Intel Arc A380E,6290
GeForce MX570 A,6288
Ryzen 7 6800HS with Radeon Graphics,6240
GRID P4-4Q,6235
Tesla M6,6225
Intel Arc 130T GPU,6199
RTX A500 Embedded GPU,6197
Intel Arc Pro 130T GPU,6178
Ryzen 9 PRO 6950H with Radeon Graphics,6176
Quadro K5200,6164
FirePro W9000,6145
GeForce GTX 960,6135
Radeon R9 380X,6132
Ryzen 9 6900HS with Radeon Graphics,6110
Radeon R9 280X,6088
Quadro M4000M,6072
Radeon Ryzen 7 6800HS,6012
RTX A400,5990
Radeon 610M Ryzen 9 8940HX,5986
Radeon R9 380,5985
Radeon RX 5500M,5985
GeForce GTX 770,5965
Radeon Ryzen 7 6810U,5937
RemotePC Adapter,5929
GRID P40-4Q,5926
GeForce GTX 1050 Ti (Mobile),5918
Intel Arc Pro,5868
Radeon Ryzen 7 7736U,5826
Radeon Pro 5300M,5817
Matrox LUMA A380P,5811
Ryzen 7 PRO 6850H with Radeon Graphics,5791
Ryzen 9 PRO 6950H,5759
DisplayLink USB Device Ryzen 7 7735HS,5754
GeForce MX570,5750
Intel Arc Pro A40/A50,5712
GeForce GTX 970M,5708
Tesla K80,5689
RadeonT 680M Ryzen 7 7735HS,5681
Eng Sample: 100-000000560-40_Y,5656
Intel Arc 140T,5635
GeForce GTX 680,5610
Radeon Ryzen 9 PRO 6950H,5604
Radeon PRO Ryzen 7 PRO 6850U,5599
Ryzen 7 PRO 6850U,5581
Quadro M3000M,5567
Radeon HD 7990,5566
Radeon PRO W6300,5560
Radeon R9 285 / 380,5550
Radeon TM,5543
GRID P40-12Q,5540
GeForce GTX 690,5536
Radeon R9 280,5531
GRID M60-8A,5523
Radeon Ryzen 7 PRO 6850H,5502
Radeon 680M Ryzen 9 6900HX,5493
Intel Arc,5492
GeForce GTX 760 Ti OEM,5474
Ryzen 7 6800HS Creator Edition,5465
Radeon Pro WX 5100,5464
Intel Arc A310,5440
Radeon 760M,5418
L40S-8Q,5414
GeForce GTX 670,5360
GeForce GTX 950,5353
Radeon Ryzen 7 7735H,5348
Quadro P2000 with Max-Q Design,5341
Radeon RX 6300,5324
Radeon Ryzen 7 6800HS Creator Edition,5322
GeForce GTX 1050 Ti with Max-Q Design,5310
GeForce GTX 760 Ti,5307
GRID P4-8Q,5283
Radeon HD 7970 / R9 280X,5248
Ryzen 7 6800H,5248
Ryzen 7 6800HS,5237
Radeon HD 8990,5214
GRID M60-2Q,5203
Ryzen 7 7735HS with Radeon Graphics,5175
Radeon Pro Vega 20,5169
Q12U-1,5164
Ryzen 9 5900HS with Radeon Graphics,5162
Intel Arc 140V GPU,5159
Radeon Ryzen 9 6900HS Creator Edition,5156
Radeon R9 M295X,5150
Ryzen 7 Pro 7735U with Radeon Graphics,5142
Radeon RX 5300M,5126
Ryzen 9 6900HX with Radeon Graphics,5123
Ryzen 7 PRO 6850U with Radeon Graphics,5116
Intel Arc A370M,5115
GeForce GTX 1050 3GB,5111
Radeon R9 M395X,5104
Ryzen 7 7735U with Radeon Graphics,5081
Ryzen 7 PRO 6860Z,5077
FirePro W7100,5072
FirePro S9000,5059
Radeon Ryzen 7 PRO 6850HS,5057
VNC Mirror Driver,5043
GeForce GTX 1050,5042
Radeon Ryzen 7 PRO 6850U,5013
Ryzen 7 6800U,5006
GeForce GTX 1630,4996
Ryzen 7 6800H with Radeon Graphics,4960
EIZO Quadro MED-XN51LP,4951
Barco MXRT 7600,4944
L4-4Q,4942
Radeon Ryzen 7 7735HS,4928
Intel Arc 140V GPU RI,4922
Intel Arc A310 LP,4917
FirePro S9050,4901
CMP 30HX,4892
Intel Arc 130V GPU RI,4882
Radeon R9 270X,4877
Radeon 860M,4875
Ryzen 7 PRO 6860Z with Radeon Graphics,4869
Radeon R9 M395,4860
Radeon Ryzen 7 6800H,4856
GeForce GTX 760,4817
Radeon Pro Vega 16,4809
Radeon Ryzen Z2 Go,4784
GRID RTX6000P-6Q,4777
A16-8Q,4769
Radeon HD 7950 / R9 280,4765
GRID T4-8Q,4762
Ryzen 7 6800U with Radeon Graphics,4760
T550 Laptop GPU,4758
L40S-4Q,4756
A16-2Q,4747
Radeon Sky 500,4723
Radeon R9 370,4722
Ryzen 9 PRO 6950HS with Radeon Graphics,4705
Radeon Ryzen 7 7735U,4663
GeForce GTX 580,4630
GRID P100-16Q,4626
Radeon HD 7870,4565
B8DKMDAP,4557
Radeon Pro 465,4538
FirePro S10000,4537
Radeon Ryzen 7 PRO 6860Z,4536
FirePro S7000,4524
Intel Arc 130V GPU,4506
Radeon Pro WX Vega M GL,4498
Quadro P1000,4496
Tesla K40c,4495
Radeon R7 370,4483
L4-6Q,4473
Radeon HD 7870 XT,4470
GeForce MX550,4464
GeForce GTX 1050 (Mobile),4463
Radeon Ryzen 9 PRO 6950HS,4463
Radeon 660M Ryzen 5 6600H,4461
DisplayLink USB Device Ryzen 7 6800H,4445
GRID T4-16Q,4435
Tesla K20m,4432
GRID P6-4Q,4429
L40S-12Q,4426
GeForce GTX 660 Ti,4414
NVIDIA A40-4Q,4407
Radeon Instinct MI25 MxGPU,4403
Tesla K20Xm,4403
FirePro W7000 Adapter,4383
DisplayLink USB Device Ryzen 7 PRO 6850U,4381
GRID GTX P40-6,4340
PCI\VEN_1002&amp;DEV_164E&amp;SUBSYS_D0001458&amp;REV_C7 Ryzen,4339
NVIDIA A40-12Q,4336
Quadro K4200,4335
FirePro W7000,4314
Radeon R9 270,4306
Quadro M2200,4292
Radeon 680M Ryzen 7 7735HS,4279
Radeon R9 270 / R7 370,4260
FirePro W8000,4259
NVIDIA A40-8Q,4252
Radeon Ryzen 7 6800U,4211
Eng Sample: 100-000000561-40_Y,4206
GRID V100D-8Q,4156
Radeon RX 460,4100
Ryzen 7 PRO 6850HS with Radeon Graphics,4087
GeForce GTX 480,4079
L4-2Q,4062
RadeonT 660M Ryzen 5 7535HS,4051
GeForce GTX 660,4043
Quadro M2000,4029
Radeon HD 7800-serie,4029
Radeon PRO Ryzen 5 PRO 6650U,3999
Quadro K5000,3995
Radeon Eng Sample: 100-000000263-50_Y,3975
GeForce GTX 570,3930
GeForce GTX 775M,3928
Radeon RX Vega M GL,3927
GRID P6-2Q,3926
GeForce GTX 1050 with Max-Q Design,3919
GeForce GTX 750 Ti,3902
Radeon HD 7850,3898
Radeon R9 M390X,3895
GRID M60-8Q,3884
Radeon HD 8970M,3876
A16-16Q,3873
Matrox LUMA A310F,3873
GeForce GTX 965M,3872
GeForce GTX 780M,3866
A16-4Q,3848
Radeon Ryzen 7 Pro 7735U,3843
Radeon 840M,3842
GeForce GTX 880M,3841
GRID P40-1Q,3839
GRID M60-4Q,3831
T400 4GB,3810
Radeon R9 M485X,3801
GeForce GTX 680MX,3799
Radeon Ryzen 5 6600HS Creator Edition,3795
FirePro S7150,3770
Barco MXRT 7500,3753
Ryzen 5 Pro 7535U with Radeon Graphics,3750
MirrorOp Virtual Adaptor,3724
GeForce MX450,3719
Radeon 680M,3710
Quadro P620,3699
GRID M60-1Q,3695
FirePro W7170M,3694
Ryzen 5 6600HS Creator Edition,3691
GRID P40-1B,3690
Matrox LUMA A310,3690
Radeon Pro WX 4100,3684
Radeon RX 560,3684
P104-100,3678
Radeon Pro 560X,3678
GRID T4-2Q,3668
Radeon HD 7970M,3663
T400,3609
T500,3609
GRID T4-4Q,3598
Quadro K2200,3582
Ryzen 5 6600H with Radeon Graphics,3580
GeForce GTX 680M KY_Bullet Edition,3569
GRID M6-8Q,3568
VMware Horizon Indirect Display Driver,3565
Radeon Ryzen 5 PRO 6650U,3562
GeForce GTX 870M,3536
Quadro K2200M,3534
Ryzen 5 PRO 6650U with Radeon Graphics,3534
Ryzen 5 PRO 6650U,3519
GRID K520,3516
Quadro 7000,3505
Radeon Pro 560,3475
Radeon Ryzen 5 6600H,3472
Radeon Pro W5500M,3470
GeForce GTX 960A,3465
Radeon Pro 460,3453
Radeon Ryzen 5 PRO 6650H,3451
A16-1Q,3431
Tesla C2050 / C2070,3428
Radeon RX 560X,3415
GeForce GTX 650 Ti BOOST,3410
Quadro M2000M,3406
GeForce GTX 960M,3370
Radeon HD8970M,3369
Radeon E8870PCIe,3368
Radeon Ryzen 5 7535H w/,3366
GRID P100-8Q,3346
GRID RTX6000P-2B,3343
GeForce GTX 590,3341
A2-2Q,3331
Radeon Ryzen 5 7533HS,3327
Ryzen 5 7535U with Radeon Graphics,3324
Quadro P600,3323
A40-24Q,3318
GeForce GTX 750,3312
Radeon Eng Sample: 100-000000546-40_Y,3307
GRID T4-1Q,3303
P102-100,3301
A40-4Q,3279
GeForce GTX 680M,3277
Quadro K5100M,3264
L40S-24Q,3257
Custom GPU 0932,3254
GeForce 770M,3246
Snapdragon X Elite - X1E001DE - Qualcomm Adreno GP,3246
Radeon R9 M470X,3244
Ryzen 5 6600U with Radeon Graphics,3233
Radeon 660M,3221
Radeon R9 M290X,3218
Radeon Ryzen 5 6600U,3211
Quadro M1200,3209
Radeon Ryzen 5 7535HS,3208
GRID P4-8A,3206
Radeon R7 260X,3202
Tesla C2050,3176
Radeon Ryzen 7 4800H,3175
Tesla M10,3173
Intel Graphics,3170
FirePro V7000,3162
GRID P4-2Q,3162
GeForce GTX 470,3160
Radeon Ryzen 5 7535U,3160
Radeon 660M Ryzen 5 7533HS,3158
Tesla K40m,3143
Radeon Pro 555,3141
Radeon R7 360,3122
Radeon Ryzen 9 7950X 16-Core,3121
Tesla C2070,3121
Radeon HD 6990,3118
Radeon Pro 455,3113
A10-4Q,3102
GeForce GTX 860M,3095
Radeon HD 7790,3090
GeForce GTX 560 Ti,3076
L4-2A,3063
Radeon Ryzen 7 4800HS,3058
Radeon 660M Ryzen 5 7535HS,3054
Radeon R9 260,3048
Qualcomm Adreno X1-85 GPU,3045
Radeon R9 360,3032
Radeon 740M,3021
Tesla C2075,3017
GeForce GTX 675MX,2987
Snapdragon X Elite - X1E84100 - Qualcomm Adreno GP,2981
FirePro W5100,2973
FirePro W5000,2967
Quadro K1200,2960
GRID K260Q,2949
Radeon Ryzen 7 PRO 5800H,2945
Ryzen 9 5900HX with Radeon Graphics,2940
GRID M10-4Q,2937
Custom GPU 0405,2934
Radeon RX Vega Ryzen 7 5825U,2916
Radeon R7 260,2892
FirePro M6100 FireGL V,2885
Radeon Pro WX 4170,2870
Radeon Pro V340 MxGPU,2853
Radeon Ryzen 7 5800H,2846
GRID K280Q,2840
Quadro M1000M,2833
Radeon HD 6970,2831
Radeon HD 8950,2830
GeForce MX350,2828
Radeon Ryzen 5 Pro 7535U,2822
FirePro 3D V9800,2812
Quadro K5000M,2805
Quadro K4100M,2799
Ryzen 7 5800HS with Radeon Graphics,2795
GeForce GTX 770M,2794
GeForce GTX 560,2773
Quadro M620,2770
NVIDIA A10-4Q,2756
GRID P4-2B4,2754
Radeon R9 M380,2752
GRID K2,2737
Ryzen 7 5800H with Radeon Graphics,2737
Radeon Ryzen 7 PRO 5755G,2733
GRID T4-2B,2730
FirePro V9800,2727
Ryzen 7 5700G with Radeon Graphics,2727
Radeon Pro 450,2723
FirePro W4300,2718
Quadro K4000,2716
Parsec Virtual Display Adapter Ryzen 5 5600GT,2712
Barco MXRT 5500,2702
GRID M10-2Q,2692
Quadro 6000,2692
P106-090,2684
Ryzen 7 Pro 4750G with Radeon Graphics,2682
Radeon RX 550,2681
GeForce GTX 465,2656
FirePro R5000,2647
Radeon Eng Sample: 100-000000285-30_Y,2640
MONSTER GeForce GTX 675M,2637
Radeon Pro WX 4150,2637
Intel Iris Xe,2617
Ryzen 7 5700GE with Radeon Graphics,2607
Snapdragon X Plus - X1P64100 - Qualcomm Adreno GPU,2607
Snapdragon X Elite - X1E80100 - Qualcomm Adreno GP,2603
Radeon Pro WX 3100,2600
GeForce GTX 950A,2599
GRID M10-8Q,2595
Radeon HD 6950,2595
Radeon Ryzen 9 4950U Mobile,2594
Radeon Ryzen 7 4700GE,2586
Snapdragon X Elite - X1E78100 - Qualcomm Adreno GP,2572
GeForce GTX 950M,2571
Ryzen 7 PRO 7730U with Radeon Graphics,2567
Radeon Ryzen 9 4900H,2555
Radeon Ryzen 7 5800HS,2550
Ryzen 7 PRO 4750GE with Radeon Graphics,2550
Ryzen 5 5600G with Radeon Graphics,2547
Ryzen 5 5600GE with Radeon Graphics,2547
Radeon Ryzen 3 PRO 5355G,2544
GRID K240Q,2541
GeForce GTX 850M,2538
Radeon HD 6850 X2,2534
Radeon Ryzen 7 PRO 4750G,2532
GeForce GTX 650 Ti,2529
FireStream 9370,2528
Radeon Ryzen 7 4700G,2526
N18E-Q1,2525
FirePro M6100,2517
Ryzen 7 4700GE with Radeon Graphics,2496
Ryzen 5 PRO 5650G with Radeon Graphics,2481
Barco MXRT 5600,2466
Ryzen 5 PRO 5650GE with Radeon Graphics,2455
GRID M60-4A,2450
Radeon Ryzen 5 5500GT,2440
FirePro 3D V8800,2438
Ryzen 7 7730U with Radeon Graphics,2433
Radeon Ryzen 7 5825U,2417
GeForce GT 1030,2402
Radeon RX Vega 11 PRD,2402
Radeon Ryzen 5 5600GT,2398
Radeon Ryzen 5 PRO 5655G,2398
Radeon Ryzen 7 5800U,2386
GRID M10-1Q,2385
Ryzen 7 PRO 5750GE with Radeon Graphics,2382
RadeonT 680M Ryzen 7 6800H,2381
GeForce MX250,2376
Ryzen 5 Pro 4650G with Radeon Graphics,2374
Radeon Ryzen 5 5600H,2370
Radeon RX 550X,2367
Radeon Pro,2366
GeForce GTX 485M,2360
FirePro W6150M,2358
Radeon RX Vega Ryzen 5 5500U,2356
Radeon Ryzen 7 PRO 4750GE,2356
Ryzen 7 5825U with Radeon Graphics,2351
GeForce MX330,2346
Ryzen 7 4800U with Radeon Graphics,2344
Radeon Ryzen 7 7730U,2339
Radeon Ryzen 5 4600GE with Radeon Graphics,2337
